LJ045-0240|Many factors were undoubtedly involved in Oswald's motivation for the assassination, and the Commission does not believe|Many factors were undoubtedly involved in Oswald's motivation for the assassination, and the Commission does not believe
LJ045-0241|that it can ascribe to him any one motive or group of motives.|that it can ascribe to him any one motive or group of motives.
LJ045-0242|It is apparent, however, that Oswald was moved by an overriding hostility to his environment.|It is apparent, however, that Oswald was moved by an overriding hostility to his environment.
LJ045-0243|He does not appear to have been able to establish meaningful relationships with other people. He was perpetually discontented with the world around him.|He does not appear to have been able to establish meaningful relationships with other people. He was perpetually discontented with the world around him.
LJ045-0244|Long before the assassination he expressed his hatred for American society and acted in protest against it.|Long before the assassination he expressed his hatred for American society and acted in protest against it.
LJ045-0245|Oswald's search for what he conceived to be the perfect society was doomed from the start.|Oswald's search for what he conceived to be the perfect society was doomed from the start.
LJ045-0246|He sought for himself a place in history -- a role as the "great man" who would be recognized as having been in advance of his times.|He sought for himself a place in history -- a role as the "great man" who would be recognized as having been in advance of his times.
LJ045-0247|His commitment to Marxism and communism appears to have been another important factor in his motivation.|His commitment to Marxism and communism appears to have been another important factor in his motivation.
LJ045-0248|He also had demonstrated a capacity to act decisively and without regard to the consequences when such action would further his aims of the moment.|He also had demonstrated a capacity to act decisively and without regard to the consequences when such action would further his aims of the moment.
LJ045-0249|Out of these and the many other factors which may have molded the character of Lee Harvey Oswald|Out of these and the many other factors which may have molded the character of Lee Harvey Oswald
LJ045-0250|there emerged a man capable of assassinating President Kennedy.|there emerged a man capable of assassinating President Kennedy.
LJ046-0001|Report of the President's Commission on the Assassination of President Kennedy. The Warren Commission Report. By|Report of the President's Commission on the Assassination of President Kennedy. The Warren Commission Report. By
LJ046-0002|The President's Commission on the Assassination of President Kennedy. Chapter 8. The Protection of the President. Part 1.|The President's Commission on the Assassination of President Kennedy. Chapter eight. The Protection of the President. Part one.
LJ046-0003|In the 100 years since 1865|In the one hundred years since eighteen sixty-five
LJ046-0004|four Presidents of the United States have been assassinated|four Presidents of the United States have been assassinated
LJ046-0005|Abraham Lincoln, James A. Garfield, William McKinley, and John F. Kennedy.|Abraham Lincoln, James A. Garfield, William McKinley, and John F. Kennedy.
LJ046-0006|During this same period there were three other attacks on the life of a President,|During this same period there were three other attacks on the life of a President,
LJ046-0007|a President-elect, and a candidate for the Presidency, which narrowly failed:|a President-elect, and a candidate for the Presidency, which narrowly failed:
LJ046-0008|on Theodore Roosevelt while campaigning in October of 1912; on President-elect Franklin Delano Roosevelt,|on Theodore Roosevelt while campaigning in October of nineteen twelve; on President-elect Franklin Delano Roosevelt,
LJ046-0009|when visiting Miami on February 15, 1933; and on President Harry S. Truman on November 1, 1950,|when visiting Miami on February fifteen, nineteen thirty-three; and on President Harry S. Truman on November one, nineteen fifty,
LJ046-0010|when his temporary residence, Blair House, was attacked by Puerto Rican Nationalists.|when his temporary residence, Blair House, was attacked by Puerto Rican Nationalists.
LJ046-0011|One out of every five Presidents since 1865 has been assassinated;|One out of every five Presidents since eighteen sixty-five has been assassinated;
LJ046-0012|there have been attempts on the lives of one out of every three.|there have been attempts on the lives of one out of every three.
LJ046-0013|Prompted by these dismaying statistics, the Commission has inquired into the problems and methods of Presidential protection in effect|Prompted by these dismaying statistics, the Commission has inquired into the problems and methods of Presidential protection in effect
LJ046-0014|at the time of President Kennedy's assassination.|at the time of President Kennedy's assassination.
LJ046-0015|This study has led the Commission to conclude that the public interest might be served by any contribution it can make to the improvement of protective arrangements.|This study has led the Commission to conclude that the public interest might be served by any contribution it can make to the improvement of protective arrangements.
LJ046-0016|The Commission has not undertaken a comprehensive examination of all facets of this subject;|The Commission has not undertaken a comprehensive examination of all facets of this subject;
LJ046-0017|rather, it has devoted its time and resources to those broader aspects of Presidential protection|rather, it has devoted its time and resources to those broader aspects of Presidential protection
LJ046-0018|to which the events of last November called attention.|to which the events of last November called attention.
LJ046-0019|In this part of its inquiry the Commission has had full access to a major study of all phases of protective activities|In this part of its inquiry the Commission has had full access to a major study of all phases of protective activities
LJ046-0020|prepared by the Secret Service for the Secretary of the Treasury following the assassination. As a result of this study,|prepared by the Secret Service for the Secretary of the Treasury following the assassination. As a result of this study,
LJ046-0021|the Secretary of the Treasury has prepared a planning document dated August 27, 1964,|the Secretary of the Treasury has prepared a planning document dated August twenty-seven, nineteen sixty-four,
LJ046-0022|which recommends additional personnel and facilities to enable the Secret Service to expand its protection capabilities.|which recommends additional personnel and facilities to enable the Secret Service to expand its protection capabilities.
LJ046-0023|The Secretary of the Treasury submitted this planning document on August 31, 1964,|The Secretary of the Treasury submitted this planning document on August thirty-one, nineteen sixty-four,
LJ046-0024|to the Bureau of the Budget for review and approval.|to the Bureau of the Budget for review and approval.
LJ046-0025|This planning document has been made a part of the Commission's published record; the underlying staff and consultants' reports reviewed by the Commission have not,|This planning document has been made a part of the Commission's published record; the underlying staff and consultants' reports reviewed by the Commission have not,
LJ046-0026|since a disclosure of such detailed information relating to protective measures might undermine present methods of protecting the President.|since a disclosure of such detailed information relating to protective measures might undermine present methods of protecting the President.
LJ046-0027|However, all information considered by the Commission which pertains to the protective function as it was carried out in Dallas has been published as part of this report.|However, all information considered by the Commission which pertains to the protective function as it was carried out in Dallas has been published as part of this report.
LJ046-0028|The protection of the President of the United States is an immensely difficult and complex task.|The protection of the President of the United States is an immensely difficult and complex task.
LJ046-0029|It is unlikely that measures can be devised to eliminate entirely the multitude of diverse dangers that may arise,|It is unlikely that measures can be devised to eliminate entirely the multitude of diverse dangers that may arise,
LJ046-0030|particularly when the President is traveling in this country or abroad.|particularly when the President is traveling in this country or abroad.
LJ046-0031|The protective task is further complicated by the reluctance of Presidents to take security precautions which might interfere with the performance of their duties,|The protective task is further complicated by the reluctance of Presidents to take security precautions which might interfere with the performance of their duties,
LJ046-0032|or their desire to have frequent and easy access to the people.|or their desire to have frequent and easy access to the people.
